        Bill Date       Due Date	 Energy  Bill 			HDD	Typical HDD
Jun-08	6/21/2008	7/21/2008	 $206.32 	68.7	68.4	11	44
Jul-08	7/20/2008	8/19/2008	 $222.39 	75.5	73.2	0	7
Aug-08	8/19/2008	9/18/2008	 $260.37 	72.4	70.6	0	20
Sep-08	9/20/2008	10/20/2008	 $217.85 	63.6	61	101	178
Oct-08	10/20/2008	11/19/2008	 $197.34 	50.4	48.7	449	516
Nov-08	11/18/2008	12/18/2008	 $241.84 	34.7	32.5	905	978
Dec-08	12/23/2008	1/22/2009	 $439.52 	13.5	18.7	1588	1428
Jan-09	1/24/2009	2/23/2009	 $495.14 	8.3	13	1747	1616
Feb-09	2/21/2009	3/23/2009	 $311.39 	20.8	20	1229	1297
Mar-09	3/22/2009	4/21/2009	 $273.77 	32.2	32.5	1008	1034
Apr-09	4/21/2009	5/21/2009	 $199.86 	47.6	46.5	515	560
May-09	5/22/2009	6/21/2009	 $202.36 	60.8	59.5	162	222
Jun-09	6/21/2009	7/21/2009	 $151.56 	67.7	68.4	69	44
Jul-09	7/21/2009	8/20/2009	 $188.44 	80	73.2	8	7
Aug-09	8/22/2009	9/21/2009	 $232.25 	69.4	70.6	18	20
Sep-09	9/20/2009	10/20/2009	 $219.10 	66.5	61	55	178
Oct-09	10/20/2009	11/19/2009	 $232.26 	43.2	48.7	669	516
Nov-09	11/18/2009	12/18/2009	 $198.29 	42.7	32.5	662	978
Dec-09	12/23/2009	1/22/2010	 $331.75 	17.3	18.7	1472	1428
Jan-10	1/24/2010	2/23/2010	 $406.04 	13	13	1603	1616
Feb-10	2/21/2010	3/23/2010	 $736.69 	41	20	1260	1297
Mar-10	3/22/2010	4/21/2010	 $402.73 	18.6	32.5	736	1034
Apr-10	4/24/2010	5/24/2010	 $111.28 	54.9	46.5	292	560
May-10	5/22/2010	6/21/2010	 $189.60 	60.7	59.5	215	222
Jun-10	6/21/2010	7/21/2010	 $205.02 	77.5	68.4	12	44
Jul-10	7/20/2010	8/19/2010	 $233.69 	76.3	73.2	0	7
Aug-10	8/21/2010	9/20/2010	 $289.70 	77	70.6	0	20
Sep-10	9/19/2010	10/19/2010	 $221.53 	60.2	61	144	178
Oct-10	10/19/2010	11/18/2010	 $162.22 	64.1	48.7	349	516
Nov-10	11/17/2010	12/17/2010	 $226.19 	35.5	32.5	884	978
Dec-10	12/26/2010	1/25/2011	 $382.06 	22.4	18.7	1499	1428
Jan-11	1/24/2011	2/23/2011	 $415.53 	12	13	1634	1616
Feb-11	2/21/2011	3/23/2011	 $332.45 	18.7	20	1288	1297
Mar-11	3/21/2011	4/20/2011	 $257.53 	29.4	32.5	1095	1034
Apr-11	4/20/2011	5/20/2011	 $230.43 	46.2	46.5	557	560
May-11	5/22/2011	6/21/2011	 $198.46 	67.2	59.5	288	222
Jun-11	6/21/2011	7/21/2011	 $157.19 	69.5	68.4	31	44
Jul-11	7/19/2011	8/18/2011	 $247.92 	78.8	73.2	0	7
Aug-11	8/20/2011	9/19/2011	 $226.41 	73.6	70.6	0	20
Sep-11	9/17/2011	10/17/2011	 $234.71 	62.9	61	150	178
Oct-11	10/18/2011	11/17/2011	 $175.95 	55.3	48.7	345	516
Nov-11	11/16/2011	12/16/2011	 $235.18 	39.2	32.5	766	978
Dec-11	12/21/2011	1/20/2012	 $314.63 	27.8	18.7	1145	1428
Jan-12	1/24/2012	2/23/2012	 $318.35 	23.3	13	1285	1616
Feb-12	2/22/2012	3/23/2012	 $266.15 	27.7	20	1072	1297
Mar-12	3/19/2012	4/18/2012	 $212.35 	48.3	32.5	524	1034
Apr-12	4/18/2012	5/18/2012	 $155.69 	50	46.5	442	560
May-12	5/20/2012	6/19/2012	 $154.18 	63.7	59.5	112	222
Jun-12	6/19/2012	7/19/2012	 $192.11 	72.3	68.4	11	44
Jul-12	7/18/2012	8/17/2012	 $267.16 	80.2	73.2	0	7
Aug-12	8/20/2012	9/19/2012	 $215.90 	72	70.6	4	20
Sep-12	9/17/2012	10/17/2012	 $154.67 	63.9	61	121	178
Oct-12	10/18/2012	11/17/2012	 $212.35 	48.3	48.7	524	516
